ID,Score,Time,result
3006,96,60,B+
3007,91,56,B
3008,88,49,B
3009,94,42,A-
3010,56,28,C
3011,58,35,C
3012,55,29,C
3013,92,47,B
3014,71,42,C+
3015,74,38,B-
3016,62,25,C+
3017,56,30,C
3018,62,38,C
3019,86,41,B+
3020,53,39,D
3021,87,24,A
3022,69,43,C
3023,72,37,B-
3024,71,25,B
3025,76,53,C+
3026,69,44,C
3027,71,60,C
3028,57,60,D
3029,100,52,B+
3030,97,25,A+
3031,93,55,B+
3032,53,46,D-
3033,88,45,B+
3034,99,59,B+
3035,100,56,B+
3036,99,60,B+
3037,59,29,C
3038,81,56,B-
3039,79,39,B
3040,79,41,B-
3041,74,24,B
3042,68,29,B-
3043,59,56,D
3044,65,56,C-
3045,64,54,D+
3046,86,48,B
3047,100,41,A-
3048,56,32,C
3049,68,38,C+
3050,84,24,A-
3051,83,31,A-
3052,69,34,B-
3053,62,47,D+
3054,99,39,A
3055,76,38,B
3056,53,42,D
3057,68,50,C-
3058,88,44,B+
3059,50,47,D-
3060,95,48,B+
3061,74,30,B
3062,99,25,A+
3063,98,52,B+
3064,87,54,B
3065,59,33,C
3066,59,27,C
3067,99,55,B+
3068,80,50,B-
3069,59,49,D
3070,65,51,C-
3071,87,37,A-
3072,85,57,B
3073,58,35,C
3074,74,53,C
3075,59,47,D
3076,70,29,B
3077,93,31,A+
3078,72,47,C
3079,95,55,B+
3080,95,36,A
3081,78,30,B+
3082,99,31,A+
3083,58,48,D
3084,87,53,B
3085,86,30,A
3086,73,60,C
3087,67,48,C-
3088,58,41,D+
3089,81,48,B-
3090,87,34,A
3091,63,35,C+
3092,97,58,B+
3093,100,35,A+
3094,56,59,D
3095,50,48,D-
3096,77,33,B+
3097,51,43,D
3098,84,50,B-
3099,89,39,A-
3100,52,26,C-
3101,99,54,B+
3102,95,58,B+
3103,86,25,A
3104,61,32,C+
3105,77,35,B+
3106,86,48,B
3107,71,44,C+
3108,80,47,B-
3109,99,56,B+
3110,57,38,D+
3111,89,49,B
3112,83,40,B+
3113,73,52,C
3114,79,57,C+
3115,99,48,B+
3116,79,49,C+
3117,60,51,D+
3118,69,44,C
3119,78,60,C+
3120,51,42,D
3121,54,58,D-
3122,79,43,B-
3123,50,54,D-
3124,63,28,C+
3125,97,50,B+
3126,50,50,D-
3127,57,38,D+
3128,97,32,A+
3129,88,25,A
3130,50,48,D-
3131,92,30,A
3132,70,42,C+
3133,53,26,C-
3134,71,37,B-
3135,72,28,B
3136,57,27,C
3137,51,43,D
3138,52,42,D
3139,57,53,D
3140,64,39,C
3141,69,32,B-
3142,53,53,D-
3143,97,39,A
3144,84,31,A-
3145,50,58,D-
3146,52,38,D
3147,94,36,A
3148,60,44,C-
3149,52,47,D-
3150,80,37,B+
3151,87,33,A
3152,59,31,C
3153,55,39,D+
3154,71,37,B-
3155,75,30,B+
3156,65,25,B-
3157,97,30,A+
3158,57,59,D
3159,78,30,B+
3160,85,45,B+
3161,89,58,B
3162,77,49,C+
3163,73,35,B
3164,68,42,C
3165,84,24,A-
3166,91,48,B
3167,51,38,D
3168,88,37,A-
3169,83,55,B-
3170,98,44,A-
3171,83,50,B-
3172,63,48,D+
3173,81,49,B-
3174,90,38,A-
3175,55,46,D
3176,67,32,B-
3177,82,24,A-
3178,63,59,D+
3179,59,50,D
3180,53,53,D-
3181,60,36,C
3182,61,54,D+
3183,77,40,B
3184,60,29,C+
3185,64,43,C-
3186,79,25,B+
3187,65,34,B-
3188,74,50,C
3189,55,53,D
3190,77,60,C+
3191,94,51,B+
3192,83,25,A-
3193,65,27,B-
3194,78,26,B+
3195,93,49,B+
3196,98,51,B+
3197,71,48,C
3198,66,49,C-
3199,83,36,B+
3200,100,48,B+
3201,52,38,D
3202,87,44,B+
3203,81,31,A-
3204,73,58,C
3205,73,50,C
3206,60,54,D+
3207,72,28,B
3208,70,31,B
3209,95,50,B+
3210,63,29,C+
3211,75,55,C+
3212,59,49,D
3213,98,38,A
3214,54,39,D
3215,59,36,D+
3216,62,59,D+
3217,70,49,C
3218,90,36,A-
3219,92,58,B
3220,82,33,A-
3221,58,31,C
3222,76,49,C+
3223,53,55,D-
3224,73,47,C
3225,79,46,C+
3226,73,50,C
3227,94,48,B+
3228,98,54,B+
3229,50,49,D-
3230,72,30,B
3231,73,39,B-
3232,85,41,B+
3233,91,44,B+
3234,55,26,C
3235,91,25,A
3236,77,44,B-
3237,54,44,D
3238,77,37,B
3239,75,40,B
3240,82,48,B-
3241,53,36,D
3242,98,58,B+
3243,66,51,C-
3244,60,53,D+
3245,92,54,B
3246,52,55,D-
3247,77,44,B-
3248,97,48,B+
3249,68,43,C
3250,74,40,B-
3251,74,38,B-
3252,67,58,C-
3253,87,30,A
3254,62,36,C
3255,52,47,D-
3256,92,53,B
3257,53,38,D
3258,83,26,A-
3259,94,26,A+
3260,90,45,B+
3261,90,57,B
3262,56,58,D
3263,59,60,D
3264,50,39,D
3265,61,60,D+
3266,91,59,B
3267,99,44,A-
3268,61,41,C-
3269,60,27,C+
3270,79,40,B
3271,85,59,B
3272,97,41,A-
3273,68,49,C-
3274,100,48,B+
3275,94,39,A
3276,69,35,B-
3277,55,49,D
3278,100,36,A
3279,92,40,A-
3280,50,44,D
3281,93,50,B+
3282,89,27,A
3283,92,58,B
3284,92,32,A
3285,69,50,C-
3286,65,56,C-
3287,78,37,B
3288,81,29,A-
3289,83,25,A-
3290,52,48,D-
3291,76,55,C+
3292,84,35,A-
3293,55,29,C
3294,80,52,B-
3295,81,54,B-
3296,80,27,A-
3297,62,47,D+
3298,86,37,A-
3299,50,48,D-
3300,51,26,C-
3301,71,59,C
3302,90,47,B
3303,78,42,B-
3304,90,26,A
3305,87,44,B+
3306,70,49,C
3307,69,55,C-
3308,55,43,D+
3309,87,32,A
3310,100,44,A-
3311,96,46,B+
3312,74,29,B
3313,96,38,A
3314,70,40,B-
3315,92,42,B+
3316,78,57,C+
3317,97,42,A-
3318,51,27,C-
3319,96,29,A+
3320,73,58,C
3321,52,46,D-
3322,58,33,C
3323,68,51,C-
3324,100,42,A-
3325,98,30,A+
3326,73,47,C
3327,71,43,C+
3328,98,26,A+
3329,80,48,B-
3330,55,48,D
3331,85,43,B+
3332,65,39,C+
3333,59,47,D
3334,87,58,B
3335,100,46,B+
3336,52,27,C-
3337,98,52,B+
3338,81,59,B-
3339,55,60,D
3340,79,42,B-
3341,72,42,C+
3342,71,46,C
3343,71,24,B
3344,77,58,C+
3345,77,52,C+
3346,80,52,B-
3347,63,52,D+
3348,77,46,C+
3349,64,46,D+
3350,81,25,A-
3351,66,50,C-
3352,52,44,D
3353,95,27,A+
3354,68,47,C-
3355,91,33,A
3356,99,39,A
3357,67,57,C-
3358,92,43,B+
3359,81,25,A-
3360,80,49,B-
3361,56,40,D+
3362,98,46,B+
3363,54,27,C-
3364,57,47,D
3365,86,25,A
3366,88,49,B
3367,60,46,D+
3368,94,51,B+
3369,94,59,B+
3370,67,52,C-
3371,76,32,B+
3372,74,26,B
3373,52,60,D-
3374,69,58,C-
3375,76,36,B
3376,77,57,C+
3377,76,26,B+
3378,62,58,D+
3379,61,40,C
3380,65,49,C-
3381,97,34,A+
3382,55,53,D
3383,57,60,D
3384,76,53,C+
3385,88,56,B
3386,51,39,D
3387,62,56,D+
3388,86,25,A
3389,62,38,C
3390,64,54,D+
3391,81,49,B-
3392,55,31,C
3393,74,55,C
3394,75,24,B+
3395,92,40,A-
3396,75,32,B+
3397,61,56,D+
3398,73,47,C
3399,73,30,B
3400,98,29,A+
3401,91,48,B
3402,97,54,B+
3403,64,57,D+
3404,64,57,D+
3405,62,34,C+
3406,99,58,B+
3407,57,50,D
3408,62,28,C+
3409,95,39,A
3410,89,33,A
3411,95,24,A+
3412,80,33,A-
3413,78,49,C+
3414,84,39,B+
3415,93,38,A
3416,90,24,A
3417,56,54,D
3418,81,45,B
3419,89,32,A
3420,63,37,C
3421,79,60,C+
3422,62,40,C
3423,77,29,B+
3424,72,34,B
3425,94,53,B+
3426,84,29,A-
3427,65,55,C-
3428,54,43,D
3429,67,53,C-
3430,62,58,D+
3431,70,38,B-
3432,73,37,B-
3433,69,34,B-
3434,83,28,A-
3435,51,33,C-
3436,80,29,A-
3437,54,49,D-
3438,72,40,B-
3439,77,24,B+
3440,50,42,D
3441,95,36,A
3442,68,25,B-
3443,73,55,C
3444,61,25,C+
3445,97,54,B+
3446,74,49,C
3447,73,40,B-
3448,83,47,B-
3449,95,60,B+
3450,89,49,B
3451,70,45,C+
3452,66,56,C-
3453,58,58,D
3454,87,57,B
3455,58,47,D
3456,51,34,C-
3457,93,58,B+
3458,67,51,C-
3459,77,28,B+
3460,66,36,C+
3461,63,53,D+
3462,74,37,B-
3463,58,39,D+
3464,64,26,C+
3465,53,60,D-
3466,73,53,C
3467,54,42,D
3468,51,39,D
3469,50,31,C-
3470,79,39,B
3471,50,36,D
3472,52,30,C-
3473,74,36,B-
3474,53,34,C-
3475,85,60,B
3476,65,59,C-
3477,81,40,B+
3478,84,37,B+
3479,52,37,D
3480,77,44,B-
3481,92,39,A-
3482,75,33,B+
3483,95,25,A+
3484,52,41,D
3485,72,43,C+
3486,93,27,A+
3487,67,57,C-
3488,87,29,A
3489,99,56,B+
3490,75,55,C+
3491,63,30,C+
3492,79,53,C+
3493,75,43,B-
3494,97,41,A-
3495,87,27,A
3496,63,27,C+
3497,91,30,A
3498,61,26,C+
3499,82,43,B
3500,68,54,C-
3501,87,26,A
3502,54,47,D-
3503,78,39,B
3504,69,60,C-
3505,53,35,C-
3506,67,43,C
3507,59,40,D+
3508,98,34,A+
3509,91,44,B+
3510,76,41,B-
3511,87,59,B
3512,68,46,C-
3513,65,24,B-
3514,64,50,D+
3515,72,50,C
3516,74,57,C
3517,100,47,B+
3518,85,41,B+
3519,83,39,B+
3520,76,55,C+
3521,62,33,C+
3522,71,53,C
3523,74,56,C
3524,77,51,C+
3525,83,24,A-
3526,50,29,C-
3527,96,48,B+
3528,68,40,C+
3529,82,45,B
3530,85,30,A
3531,68,41,C
3532,64,42,C-
3533,97,57,B+
3534,84,52,B-
3535,51,45,D
3536,52,36,D
3537,56,32,C
3538,70,34,B
3539,76,52,C+
3540,75,25,B+
3541,98,39,A
3542,71,58,C
3543,87,41,B+
3544,90,31,A
3545,93,56,B+
3546,73,59,C
3547,89,55,B
3548,50,30,C-
3549,98,48,B+
3550,92,41,B+
3551,65,60,C-
3552,67,41,C
3553,76,31,B+
3554,95,50,B+
3555,57,52,D
3556,64,53,D+
3557,70,49,C
3558,93,49,B+
3559,100,54,B+
3560,83,35,A-
3561,50,58,D-
3562,76,44,B-
3563,52,43,D
3564,62,34,C+
3565,65,32,B-
3566,63,39,C
3567,61,57,D+
3568,57,48,D
3569,81,41,B
3570,98,53,B+
3571,88,42,B+
3572,79,24,B+
3573,79,34,B+
3574,95,46,B+
3575,55,41,D+
3576,85,25,A
3577,50,53,D-
3578,86,27,A
3579,54,48,D-
3580,78,48,C+
3581,68,43,C
3582,68,45,C
3583,95,34,A+
3584,69,35,B-
3585,58,49,D
3586,67,60,C-
3587,96,47,B+
3588,87,29,A
3589,83,54,B-
3590,55,28,C
3591,72,49,C
3592,74,37,B-
3593,70,40,B-
3594,76,43,B-
3595,65,35,B-
3596,96,28,A+
3597,88,60,B
3598,76,24,B+
3599,59,25,C
3600,66,39,C+
3601,68,51,C-
3602,78,25,B+
3603,93,35,A+
3604,92,57,B
3605,63,30,C+
3606,76,49,C+
3607,100,59,B+
3608,67,36,C+
3609,63,45,C-
3610,82,48,B-
3611,72,55,C
3612,67,37,C+
3613,71,44,C+
3614,61,58,D+
3615,63,50,D+
3616,87,24,A
3617,54,43,D
3618,71,56,C
3619,69,50,C-
3620,94,32,A+
3621,69,60,C-
3622,81,35,A-
3623,94,58,B+
3624,71,53,C
3625,61,50,D+
3626,73,35,B
3627,83,56,B-
3628,60,39,C
3629,90,58,B
3630,96,52,B+
3631,91,36,A-
3632,56,27,C
3633,59,57,D
3634,81,55,B-
3635,82,52,B-
3636,93,47,B+
3637,100,44,A-
3638,81,44,B
3639,61,52,D+
3640,77,27,B+
3641,74,44,C+
3642,62,30,C+
3643,67,55,C-
3644,94,41,A-
3645,81,24,A-
3646,71,49,C
3647,65,49,C-
3648,66,55,C-
3649,52,35,C-
3650,63,49,D+
3651,84,56,B-
3652,70,24,B
3653,77,51,C+
3654,96,57,B+
3655,88,59,B
3656,97,30,A+
3657,85,43,B+
3658,70,47,C
3659,66,24,B-
3660,82,44,B
3661,59,52,D
3662,76,39,B
3663,76,42,B-
3664,69,30,B-
3665,72,36,B-
3666,57,59,D
3667,63,28,C+
3668,79,56,C+
3669,94,58,B+
3670,65,41,C
3671,63,36,C
3672,52,38,D
3673,52,47,D-
3674,95,47,B+
3675,100,28,A+
3676,75,60,C+
3677,70,47,C
3678,69,46,C-
3679,76,41,B-
3680,67,31,B-
3681,79,29,B+
3682,98,42,A-
3683,60,48,D+
3684,95,60,B+
3685,65,59,C-
3686,69,53,C-
3687,96,51,B+
3688,71,45,C+
3689,50,56,D-
3690,60,35,C+
3691,90,48,B
3692,86,47,B
3693,67,41,C
3694,98,42,A-
3695,60,55,D+
3696,87,43,B+
3697,68,48,C-
3698,81,30,A-
3699,69,58,C-
3700,93,47,B+
3701,74,30,B
3702,75,52,C+
3703,50,27,C-
3704,95,49,B+
3705,59,42,D+
3706,74,59,C
3707,71,44,C+
3708,91,47,B
3709,93,37,A
3710,52,55,D-
3711,65,47,C-
3712,50,51,D-
3713,71,41,C+
3714,77,27,B+
3715,89,45,B+
3716,76,39,B
3717,94,51,B+
3718,92,45,B+
3719,96,54,B+
3720,57,45,D+
3721,74,54,C
3722,87,57,B
3723,58,39,D+
3724,50,31,C-
3725,77,51,C+
3726,94,57,B+
3727,72,54,C
3728,71,55,C
3729,94,36,A
3730,80,26,A-
3731,99,30,A+
3732,94,57,B+
3733,87,36,A-
3734,73,33,B
3735,76,38,B
3736,75,49,C+
3737,54,26,C-
3738,65,32,B-
3739,83,42,B
3740,84,37,B+
3741,61,43,C-
3742,80,57,B-
3743,50,54,D-
3744,73,28,B
3745,79,50,C+
3746,63,37,C
3747,64,43,C-
3748,63,53,D+
3749,84,36,B+
3750,61,49,D+
3751,80,37,B+
3752,74,35,B
3753,57,59,D
3754,72,24,B
3755,87,28,A
3756,58,59,D
3757,98,54,B+
3758,89,30,A
3759,59,39,D+
3760,89,60,B
3761,70,39,B-
3762,58,60,D
3763,95,51,B+
3764,54,25,C-
3765,50,26,C-
3766,52,27,C-
3767,83,50,B-
3768,87,57,B
3769,85,33,A
3770,66,39,C+
3771,65,38,C+
3772,69,37,C+
3773,50,25,C-
3774,55,56,D
3775,66,59,C-
3776,66,49,C-
3777,88,35,A
3778,97,47,B+
3779,98,49,B+
3780,89,33,A
3781,77,30,B+
3782,55,32,C
3783,84,38,B+
3784,65,26,B-
3785,69,31,B-
3786,61,34,C+
3787,57,56,D
3788,63,34,C+
3789,90,55,B
3790,63,51,D+
3791,58,59,D
3792,63,28,C+
3793,75,34,B+
3794,73,30,B
3795,54,57,D-
3796,90,27,A
3797,59,54,D
3798,84,24,A-
3799,87,41,B+
3800,54,48,D-
3801,96,38,A
3802,58,24,C
3803,96,32,A+
3804,73,59,C
3805,66,29,B-
3806,64,35,C+
3807,90,60,B
3808,89,51,B
3809,60,47,D+
3810,73,38,B-
3811,67,32,B-
3812,100,58,B+
3813,100,48,B+
3814,68,53,C-
3815,73,29,B
3816,82,32,A-
3817,63,55,D+
3818,85,56,B
3819,68,48,C-
3820,90,40,A-
3821,80,51,B-
3822,88,40,A-
3823,50,52,D-
3824,67,32,B-
3825,94,36,A
3826,61,46,D+
3827,70,30,B
3828,57,27,C
3829,91,27,A
3830,51,47,D-
3831,91,44,B+
3832,96,28,A+
3833,85,47,B
3834,52,33,C-
3835,65,44,C
3836,59,58,D
3837,86,55,B
3838,97,35,A+
3839,80,60,B-
3840,80,51,B-
3841,63,49,D+
3842,85,46,B
3843,88,39,A-
3844,98,34,A+
3845,87,50,B
3846,90,42,B+
3847,92,24,A
3848,50,29,C-
3849,58,53,D
3850,59,56,D
3851,59,39,D+
3852,90,47,B
3853,90,55,B
3854,82,57,B-
3855,61,38,C
3856,74,50,C
3857,66,47,C-
3858,53,27,C-
3859,76,54,C+
3860,74,28,B
3861,66,43,C
3862,89,38,A-
3863,84,45,B
3864,64,30,C+
3865,78,44,B-
3866,62,49,D+
3867,56,26,C
3868,82,52,B-
3869,93,31,A+
3870,97,36,A
3871,68,33,B-
3872,67,51,C-
3873,72,55,C
3874,61,49,D+
3875,62,58,D+
3876,76,57,C+
3877,64,31,C+
3878,99,46,B+
3879,100,51,B+
3880,86,48,B
3881,79,27,B+
3882,64,50,D+
3883,66,29,B-
3884,92,43,B+
3885,94,39,A
3886,70,32,B
3887,71,49,C
3888,63,24,C+
3889,95,39,A
3890,62,35,C+
3891,63,50,D+
3892,81,36,B+
3893,86,45,B+
3894,100,25,A+
3895,74,49,C
3896,50,27,C-
3897,56,60,D
3898,93,58,B+
3899,59,60,D
3900,98,60,B+
3901,93,33,A+
3902,59,35,C
3903,56,36,D+
3904,56,60,D
3905,56,43,D+
3906,55,40,D+
3907,62,47,D+
3908,89,34,A
3909,56,39,D+
3910,100,43,A-
3911,84,48,B-
3912,65,24,B-
3913,80,59,B-
3914,59,55,D
3915,94,34,A+
3916,91,37,A-
3917,98,48,B+
3918,66,56,C-
3919,54,39,D
3920,61,34,C+
3921,59,59,D
3922,61,30,C+
3923,98,39,A
3924,69,56,C-
3925,83,48,B-
3926,53,41,D
3927,81,59,B-
3928,55,45,D+
3929,73,60,C
3930,83,32,A-
3931,73,55,C
3932,92,41,B+
3933,74,44,C+
3934,88,42,B+
3935,97,36,A
3936,68,54,C-
3937,65,51,C-
3938,73,27,B
3939,95,41,A-
3940,57,53,D
3941,69,55,C-
3942,91,45,B+
3943,50,25,C-
3944,52,34,C-
3945,62,50,D+
3946,97,36,A
3947,84,53,B-
3948,71,57,C
3949,55,35,C
3950,63,40,C
3951,83,55,B-
3952,71,49,C
3953,65,37,C+
3954,83,40,B+
3955,69,41,C
3956,99,38,A
3957,91,38,A-
3958,59,24,C
3959,57,26,C
3960,74,36,B-
3961,68,57,C-
3962,64,46,D+
3963,50,25,C-
3964,95,31,A+
3965,63,59,D+
3966,64,52,D+
3967,86,29,A
3968,74,36,B-
3969,99,52,B+
3970,68,37,C+
3971,54,57,D-
3972,67,29,B-
3973,88,54,B
3974,50,47,D-
3975,64,59,D+
3976,87,44,B+
3977,85,46,B
3978,60,34,C+
3979,75,47,C+
3980,98,41,A-
3981,99,26,A+
3982,59,55,D
3983,94,44,A-
3984,71,39,B-
3985,95,32,A+
3986,54,56,D-
3987,100,37,A
3988,74,25,B
3989,51,47,D-
3990,59,40,D+
3991,85,35,A
3992,91,24,A
3993,93,56,B+
3994,95,55,B+
3995,56,57,D
3996,87,34,A
3997,52,31,C-
3998,78,60,C+
3999,74,60,C
4000,76,35,B+
4001,70,29,B
4002,54,29,C-
4003,60,58,D+
4004,59,59,D
4005,90,54,B
4006,60,56,D+
4007,67,53,C-
4008,71,41,C+
4009,62,31,C+
4010,87,49,B
4011,92,46,B
4012,89,56,B
4013,61,42,C-
4014,80,50,B-
4015,71,32,B
4016,99,34,A+
4017,50,53,D-
4018,52,35,C-
4019,67,38,C+
4020,91,31,A
4021,52,42,D
4022,87,56,B
4023,95,55,B+
4024,57,49,D
4025,99,31,A+
4026,81,48,B-
4027,82,32,A-
4028,78,52,C+
4029,96,34,A+
4030,92,41,B+
4031,82,24,A-
4032,85,38,A-
4033,92,42,B+
4034,86,53,B
4035,100,39,A
4036,57,25,C
4037,95,44,A-
4038,90,28,A
4039,74,31,B
4040,74,57,C
4041,67,34,B-
4042,63,59,D+
4043,55,33,C
4044,88,44,B+
4045,60,28,C+
4046,93,57,B+
4047,85,47,B
4048,95,46,B+
4049,91,28,A
4050,67,42,C
4051,83,49,B-
4052,93,48,B+
4053,98,53,B+
4054,97,46,B+
4055,71,34,B
4056,96,47,B+
4057,73,53,C
4058,50,57,D-
4059,89,54,B
4060,64,53,D+
4061,52,57,D-
4062,56,43,D+
4063,89,32,A
4064,57,52,D
4065,77,28,B+
4066,79,58,C+
4067,79,59,C+
4068,73,26,B
4069,86,33,A
4070,86,46,B
4071,77,29,B+
4072,89,41,B+
4073,93,34,A+
4074,61,49,D+
4075,86,56,B
4076,59,25,C
4077,69,55,C-
4078,75,36,B
4079,53,58,D-
4080,77,36,B
4081,56,60,D
4082,63,60,D+
4083,68,46,C-
4084,78,41,B-
4085,86,35,A
4086,91,38,A-
4087,64,29,C+
4088,55,35,C
4089,81,48,B-
4090,94,40,A
4091,70,38,B-
4092,80,25,A-
4093,58,30,C
4094,78,55,C+
4095,99,34,A+
4096,59,30,C
4097,73,44,C+
4098,63,43,C-
4099,83,50,B-
4100,76,35,B+
4101,54,37,D
4102,61,30,C+
4103,100,35,A+
4104,73,26,B
4105,58,59,D
4106,91,32,A
4107,59,59,D
4108,91,24,A
4109,59,43,D+
4110,96,26,A+
4111,54,36,D
4112,58,56,D
4113,64,40,C
4114,82,55,B-
4115,60,56,D+
4116,61,28,C+
4117,91,29,A
4118,97,46,B+
4119,92,35,A
4120,98,42,A-
4121,79,41,B-
4122,58,60,D
4123,58,50,D
4124,54,31,C-
4125,68,25,B-
4126,59,37,D+
4127,74,41,C+
4128,72,59,C
4129,55,41,D+
4130,80,48,B-
4131,58,48,D
4132,94,27,A+
4133,92,26,A
4134,76,39,B
4135,83,54,B-
4136,68,60,C-
4137,53,50,D-
4138,62,47,D+
4139,99,56,B+
4140,66,48,C-
4141,52,35,C-
4142,71,50,C
4143,58,49,D
4144,92,41,B+
4145,80,46,B-
4146,92,32,A
4147,88,27,A
4148,53,34,C-
4149,87,43,B+
4150,69,36,C+
4151,100,59,B+
4152,93,44,A-
4153,68,51,C-
4154,95,34,A+
4155,90,28,A
4156,60,59,D+
4157,69,41,C
4158,87,32,A
4159,58,41,D+
4160,95,42,A-
4161,60,42,C-
4162,96,28,A+
4163,60,59,D+
4164,74,46,C
4165,66,24,B-
4166,54,38,D
4167,55,57,D
4168,96,43,A-
4169,70,39,B-
4170,78,55,C+
4171,90,31,A
4172,70,34,B
4173,87,32,A
4174,64,44,C-
4175,72,47,C
4176,52,56,D-
4177,66,29,B-
4178,55,36,D+
4179,88,57,B
4180,67,31,B-
4181,68,31,B-
4182,61,38,C
4183,91,40,A-
4184,51,25,C-
4185,98,28,A+
4186,100,52,B+
4187,79,56,C+
4188,56,31,C
4189,76,33,B+
4190,66,30,B-
4191,65,38,C+
4192,68,47,C-
4193,88,31,A
4194,63,25,C+
4195,80,32,A-
4196,85,41,B+
4197,74,44,C+
4198,70,55,C
4199,58,55,D
4200,62,25,C+
4201,59,28,C
4202,73,31,B
4203,74,36,B-
4204,74,35,B
4205,72,56,C
4206,51,59,D-
4207,72,33,B
4208,98,54,B+
4209,78,27,B+
4210,62,42,C-
4211,70,45,C+
4212,64,46,D+
4213,89,45,B+
4214,53,39,D
4215,86,40,A-
4216,93,57,B+
4217,84,56,B-
4218,97,46,B+
4219,62,54,D+
4220,68,30,B-
4221,84,28,A-
4222,94,25,A+
4223,56,35,C
4224,85,28,A
4225,87,56,B
4226,87,37,A-
4227,93,51,B+
4228,94,33,A+
4229,53,30,C-
4230,90,40,A-
4231,99,53,B+
4232,91,52,B
4233,60,50,D+
4234,97,48,B+
4235,70,47,C
4236,91,60,B
4237,51,31,C-
4238,59,29,C
4239,82,49,B-
4240,86,45,B+
4241,74,24,B
4242,86,28,A
4243,70,43,C+
4244,57,56,D
4245,66,31,B-
4246,78,40,B
4247,64,49,D+
4248,90,54,B
4249,69,45,C
4250,98,33,A+
4251,53,52,D-
4252,82,50,B-
4253,82,24,A-
4254,81,46,B-
4255,83,33,A-
4256,82,44,B
4257,74,53,C
4258,85,39,A-
4259,75,57,C+
4260,51,49,D-
4261,90,38,A-
4262,62,60,D+
4263,100,32,A+
4264,62,48,D+
4265,74,40,B-
4266,80,32,A-
4267,63,58,D+
4268,87,59,B
4269,97,44,A-
4270,97,29,A+
4271,94,59,B+
4272,87,49,B
4273,90,60,B
4274,61,60,D+
4275,74,60,C
4276,83,35,A-
4277,66,45,C
4278,74,55,C
4279,65,41,C
4280,83,32,A-
4281,79,26,B+
4282,72,38,B-
4283,100,41,A-
4284,82,49,B-
4285,59,52,D
4286,71,53,C
4287,64,37,C
4288,83,33,A-
4289,84,36,B+
4290,53,31,C-
4291,62,43,C-
4292,59,43,D+
4293,55,35,C
4294,60,51,D+
4295,51,32,C-
4296,68,37,C+
4297,76,24,B+
4298,75,55,C+
4299,53,34,C-
4300,77,59,C+
4301,67,51,C-
4302,57,47,D
4303,100,53,B+
4304,94,60,B+
4305,92,54,B
4306,84,32,A-
4307,99,35,A+
4308,83,26,A-
4309,93,38,A
4310,54,51,D-
4311,79,54,C+
4312,68,55,C-
4313,90,30,A
4314,57,28,C
4315,71,32,B
4316,63,40,C
4317,67,31,B-
4318,81,52,B-
4319,72,46,C
4320,56,35,C
4321,60,27,C+
4322,50,33,C-
4323,76,27,B+
4324,81,56,B-
4325,81,30,A-
4326,85,51,B
4327,88,44,B+
4328,51,50,D-
4329,80,26,A-
4330,91,40,A-
4331,65,24,B-
4332,58,57,D
4333,70,33,B
4334,63,55,D+
4335,59,50,D
4336,83,36,B+
4337,82,24,A-
4338,51,26,C-
4339,100,25,A+
4340,72,29,B
4341,98,28,A+
4342,68,29,B-
4343,64,38,C
4344,68,53,C-
4345,60,39,C
4346,74,26,B
4347,54,31,C-
4348,99,57,B+
4349,62,52,D+
4350,50,30,C-
4351,87,32,A
4352,88,53,B
4353,62,50,D+
4354,81,38,B+
4355,73,25,B
4356,74,60,C
4357,60,36,C
4358,96,27,A+
4359,91,39,A-
4360,96,26,A+
4361,69,36,C+
4362,53,24,C-
4363,96,58,B+
4364,83,53,B-
4365,82,40,B+
4366,65,58,C-
4367,93,28,A+
4368,55,49,D
4369,98,30,A+
4370,78,43,B-
4371,82,38,B+
4372,66,55,C-
4373,100,43,A-
4374,83,32,A-
4375,76,50,C+
4376,95,37,A
4377,64,41,C-
4378,81,36,B+
4379,90,24,A
4380,84,59,B-
4381,79,36,B
4382,99,60,B+
4383,82,57,B-
4384,55,39,D+
4385,63,34,C+
4386,63,32,C+
4387,85,53,B
4388,87,31,A
4389,77,33,B+
4390,54,43,D
4391,68,54,C-
4392,69,51,C-
4393,62,39,C
4394,53,48,D-
4395,63,41,C-
4396,61,59,D+
4397,55,30,C
4398,97,24,A+
4399,78,42,B-
4400,54,35,C-
4401,54,38,D
4402,56,43,D+
4403,100,33,A+
4404,91,44,B+
4405,89,34,A
4406,75,55,C+
4407,55,49,D
4408,97,55,B+
4409,90,47,B
4410,61,52,D+
4411,86,60,B
4412,77,44,B-
4413,82,54,B-
4414,85,35,A
4415,96,38,A
4416,66,25,B-
4417,86,36,A-
4418,55,52,D
4419,50,47,D-
4420,89,30,A
4421,88,25,A
4422,61,54,D+
4423,68,57,C-
4424,73,55,C
4425,74,49,C
4426,88,49,B
4427,82,30,A-
4428,87,55,B
4429,52,51,D-
4430,71,33,B
4431,68,28,B-
4432,50,40,D
4433,66,41,C
4434,76,37,B
4435,59,24,C
4436,76,57,C+
4437,56,52,D
4438,98,47,B+
4439,98,28,A+
4440,64,59,D+
4441,74,44,C+
4442,74,36,B-
4443,85,53,B
4444,61,31,C+
4445,89,26,A
4446,85,36,A-
4447,90,27,A
4448,68,24,B-
4449,92,32,A
4450,88,50,B
4451,63,53,D+
4452,69,59,C-
4453,65,27,B-
4454,62,24,C+
4455,66,42,C
